Rk,Player,From,To,Tm,W,L,T,W-L%,Count
1,Tom Brady\BradTo00,2001,2020,NWE/TAM,133,9,0,.937,142
2,Drew Brees\BreeDr00,2002,2020,NOR/SDG,114,27,0,.809,141
3,Peyton Manning\MannPe00,1998,2015,IND/DEN,102,10,0,.911,112
4,Philip Rivers\RivePh00,2004,2020,LAC/SDG/IND,91,20,0,.820,111
5,Brett Favre *\FavrBr00,1992,2010,GNB/NYJ/MIN,99,9,0,.917,108
6,Aaron Rodgers\RodgAa00,2007,2020,GNB,89,17,0,.840,106
7,Ben Roethlisberger\RoetBe00,2004,2020,PIT,85,12,0,.876,97
8,Matt Ryan\RyanMa00,2008,2020,ATL,67,21,0,.761,88
9,Fran Tarkenton*\TarkFr00,1961,1978,NYG/MIN,62,15,0,.805,77
10,Steve Young*\YounSt00,1986,1998,TAM/SFO,63,12,0,.840,75
11,Russell Wilson\WilsRu00,2012,2020,SEA,64,10,0,.865,74
12,Joe Montana*\MontJo01,1979,1994,KAN/SFO,64,6,0,.914,70
13,Dan Marino*\MariDa00,1983,1999,MIA,53,14,0,.791,67
14,Tony Romo\RomoTo00,2006,2016,DAL,51,16,0,.761,67
15,John Elway*\ElwaJo00,1983,1998,DEN,54,10,0,.844,64
16,Eli Manning\MannEl00,2004,2018,NYG,44,20,0,.688,64
17,Carson Palmer\PalmCa00,2004,2017,ARI/CIN/OAK,44,19,0,.698,63
18,Len Dawson*\DawsLe00,1959,1975,KAN/PIT/CLE/DTX,54,6,0,.900,60
19,Matthew Stafford\StafMa00,2009,2020,DET,41,18,1,.692,60
20,Ken Anderson\AndeKe00,1971,1986,CIN,48,10,0,.828,58
21,Dave Krieg\KrieDa00,1981,1998,SEA/DET/KAN/ARI/CHI/TEN,46,12,0,.793,58
22,Kirk Cousins\CousKi00,2012,2020,MIN/WAS,39,13,1,.745,53
23,Andy Dalton\DaltAn00,2011,2020,CIN/DAL,43,10,0,.811,53
24,Bart Starr*\StarBa00,1956,1971,GNB,42,10,1,.802,53
25,Boomer Esiason\EsiaBo00,1985,1997,CIN/NYJ/ARI,41,11,0,.788,52
26,Bob Griese*\GrieBo00,1967,1980,MIA,47,5,0,.904,52
27,Sonny Jurgensen*\JurgSo00,1957,1974,PHI/WAS,35,14,3,.702,52
28,Joe Flacco\FlacJo00,2008,2020,BAL/NYJ/DEN,42,9,0,.824,51
29,Chris Chandler\ChanCh00,1988,2002,HOU/ATL/PHO/RAM/IND/TAM/CHI,35,15,0,.700,50
30,Johnny Unitas *\UnitJo00,1956,1973,BAL/SDG,49,1,0,.980,50
31,Kurt Warner*\WarnKu00,1999,2009,ARI/STL/NYG,43,7,0,.860,50
32,Vinny Testaverde\TestVi00,1989,2006,CLE/NYJ/BAL/TAM/NWE/DAL,32,17,0,.653,49
33,Cam Newton\NewtCa00,2011,2020,CAR/NWE,38,10,0,.792,48
34,Alex Smith\SmitAl03,2006,2018,KAN/SFO/WAS,42,5,1,.885,48
35,Steve DeBerg\DebeSt00,1978,1998,KAN/SFO/TAM/DEN/MIA/ATL,36,11,0,.766,47
36,Jim Kelly*\KellJi00,1986,1996,BUF,42,5,0,.894,47
37,Donovan McNabb\McNaDo00,2000,2010,PHI/WAS,43,4,0,.915,47
38,John Brodie\BrodJo00,1957,1973,SFO,37,9,0,.804,46
39,Mark Brunell\BrunMa00,1995,2006,JAX/WAS,34,12,0,.739,46
40,Matt Hasselbeck\HassMa00,1999,2015,SEA/IND/GNB/TEN,36,10,0,.783,46
41,Ryan Fitzpatrick\FitzRy00,2005,2020,NYJ/CIN/TAM/TEN/MIA/BUF/HOU/STL,31,14,0,.689,45
42,Craig Morton\MortCr00,1966,1981,DAL/DEN/NYG,40,5,0,.889,45
43,Troy Aikman*\AikmTr00,1990,2000,DAL,40,4,0,.909,44
44,Steve McNair\McNaSt00,1996,2007,TEN/HOU/BAL,35,9,0,.795,44
45,Warren Moon*\MoonWa00,1984,2000,HOU/MIN/SEA/KAN,40,4,0,.909,44
46,Jay Cutler\CutlJa00,2006,2017,DEN/CHI/MIA,36,7,0,.837,43
47,Earl Morrall\MorrEa00,1957,1975,BAL/MIA/DET/NYG/PIT,35,6,2,.837,43
48,Dan Fouts*\FoutDa00,1974,1987,SDG,35,7,0,.833,42
49,Terry Bradshaw*\BradTe00,1970,1983,PIT,39,2,0,.951,41
50,Rich Gannon\GannRi00,1990,2004,OAK/MIN/KAN/WAS,33,8,0,.805,41
51,Jeff Garcia\GarcJe00,1999,2008,SFO/TAM/CLE/PHI,30,11,0,.732,41
52,Phil Simms\SimmPh00,1979,1993,NYG,36,5,0,.878,41
53,Ryan Tannehill\TannRy00,2012,2020,TEN/MIA,34,7,0,.829,41
54,Y.A. Tittle*\TittY.00,1951,1964,NYG/SFO,39,2,0,.951,41
55,Drew Bledsoe\BledDr00,1993,2006,DAL/NWE/BUF,38,2,0,.950,40
56,Derek Carr\CarrDe02,2014,2020,OAK/LVR,26,14,0,.650,40
57,Randall Cunningham\CunnRa00,1985,2000,PHI/MIN/DAL,34,6,0,.850,40
58,Matt Schaub\SchaMa00,2005,2019,HOU/ATL,30,10,0,.750,40
59,Joe Ferguson\FergJo00,1973,1988,TAM/BUF/DET,28,11,0,.718,39
60,John Hadl\HadlJo00,1962,1976,SDG/RAM/GNB/HOU,36,1,2,.949,39
61,Ken Stabler *\StabKe00,1972,1983,OAK/NOR/HOU,36,1,1,.961,38
62,Jim Everett\EverJi00,1986,1996,RAM/NOR,24,13,0,.649,37
63,Steve Grogan\GrogSt00,1975,1990,NWE,32,5,0,.865,37
64,Roger Staubach*\StauRo00,1969,1979,DAL,34,3,0,.919,37
65,Norm Van Brocklin *\VanBNo00,1950,1960,RAM/PHI,35,2,0,.946,37
66,Kerry Collins\CollKe00,1995,2010,NYG/TEN/OAK/CAR,29,7,0,.806,36
67,Daunte Culpepper\CulpDa00,2000,2009,MIN/OAK/DET,26,10,0,.722,36
68,Trent Green\GreeTr00,1998,2006,STL/KAN/WAS,23,13,0,.639,36
69,Billy Kilmer\KilmBi00,1961,1978,NOR/WAS/SFO,27,8,1,.764,36
70,Jim Plunkett\PlunJi00,1971,1986,NWE/OAK/RAI/SFO,31,5,0,.861,36
71,Roman Gabriel\GabrRo00,1962,1977,PHI/RAM,26,7,2,.771,35
72,Jim Harbaugh\HarbJi00,1988,2000,CHI/IND/BAL/SDG,29,6,0,.829,35
73,Brad Johnson\JohnBr00,1995,2006,WAS/MIN/TAM,26,9,0,.743,35
74,Norm Snead\SneaNo00,1961,1976,NYG/PHI/WAS/SFO/MIN,20,15,0,.571,35
75,Joe Theismann\TheiJo00,1974,1985,WAS,29,6,0,.829,35
76,Michael Vick\VickMi00,2001,2014,PHI/ATL/NYJ,23,12,0,.657,35
77,Dak Prescott\PresDa01,2016,2020,DAL,31,3,0,.912,34
78,Jon Kitna\KitnJo00,1997,2010,DAL/CIN/SEA/DET,23,10,0,.697,33
79,Daryle Lamonica\LamoDa00,1963,1973,OAK/BUF,29,2,2,.909,33
80,Greg Landry\LandGr00,1968,1981,BAL/DET,24,9,0,.727,33
81,Danny White\WhitDa01,1976,1987,DAL,28,5,0,.848,33
82,Neil O'Donnell\ODonNe00,1991,2003,NYJ/TEN/PIT/CIN,26,6,0,.813,32
83,Milt Plum\PlumMi00,1957,1965,CLE/DET,25,6,1,.797,32
84,Jim Hart\HartJi00,1967,1983,STL,27,4,0,.871,31
85,Bobby Hebert\HebeBo00,1985,1996,NOR/ATL,24,7,0,.774,31
86,Ken O'Brien\OBriKe00,1984,1992,NYJ,27,4,0,.871,31
87,Deshaun Watson\WatsDe00,2017,2020,HOU,18,13,0,.581,31
88,Wade Wilson\WilsWa00,1985,1998,MIN/OAK/ATL/NOR/DAL,24,7,0,.774,31
89,Jeff Hostetler\HostJe00,1988,1996,OAK/NYG/RAI,25,5,0,.833,30
90,Ron Jaworski\JawoRo00,1976,1989,PHI/MIA/KAN/RAM,24,6,0,.800,30
91,Charley Johnson\JohnCh02,1961,1975,STL/DEN/HOU,22,5,3,.783,30
92,Bernie Kosar\KosaBe00,1985,1996,CLE/MIA/DAL,20,10,0,.667,30
93,Neil Lomax\LomaNe00,1981,1988,STL/PHO,21,9,0,.700,30
94,Chad Pennington\PennCh01,2000,2008,NYJ/MIA,22,8,0,.733,30
95,Jake Plummer\PlumJa00,1997,2006,ARI/DEN,26,4,0,.867,30
96,Steve Bartkowski\BartSt00,1975,1985,ATL,21,8,0,.724,29
97,Steve Beuerlein\BeueSt00,1988,2002,CAR/DAL/PHO/DEN/RAI,24,5,0,.828,29
98,Jake Delhomme\DelhJa00,1999,2009,CAR/NOR,25,4,0,.862,29
99,Bobby Layne*\LaynBo00,1950,1962,DET/PIT,25,4,0,.862,29
100,Patrick Mahomes\MahoPa00,2018,2020,KAN,24,5,0,.828,29
101,Joe Namath*\NamaJo00,1965,1976,NYJ,27,2,0,.931,29
102,Babe Parilli\PariBa00,1952,1969,BOS/CLE/NYJ/GNB,24,4,1,.845,29
103,Frank Ryan\RyanFr00,1959,1968,RAM/CLE,22,7,0,.759,29
104,Billy Wade\WadeBi00,1954,1964,RAM/CHI,18,11,0,.621,29
105,Ed Brown\BrowEd01,1954,1965,BAL/CHI/PIT,24,4,0,.857,28
106,David Garrard\GarrDa00,2003,2010,JAX,22,6,0,.786,28
107,Jeff George\GeorJe00,1990,2000,ATL/MIN/IND/OAK/WAS,18,10,0,.643,28
108,Bert Jones\JoneBe00,1974,1981,BAL,25,3,0,.893,28
109,Jameis Winston\WinsJa00,2015,2020,TAM/NOR,16,12,0,.571,28
110,Marc Bulger\BulgMa00,2002,2009,STL,18,9,0,.667,27
111,Jared Goff\GoffJa00,2016,2020,LAR,23,4,0,.852,27
112,Lynn Dickey\DickLy00,1971,1985,GNB/HOU,19,7,0,.731,26
113,Andrew Luck\LuckAn00,2012,2018,IND,23,3,0,.885,26
114,Jim McMahon\McMaJi00,1982,1996,MIN/CHI/ARI/GNB/SDG/PHI,21,5,0,.808,26
