Rk,Player,From,To,Tm,W,L,T,W-L%,Count
1,Tom Brady\BradTo00,2001,2020,NWE/TAM,77,4,0,.951,81
2,Drew Brees\BreeDr00,2003,2020,NOR/SDG,57,9,0,.864,66
3,Aaron Rodgers\RodgAa00,2008,2020,GNB,50,10,0,.833,60
4,Peyton Manning\MannPe00,2000,2014,IND/DEN,51,4,0,.927,55
5,Brett Favre *\FavrBr00,1992,2009,GNB/MIN/NYJ,39,6,0,.867,45
6,Philip Rivers\RivePh00,2006,2020,SDG/LAC/IND,34,9,0,.791,43
7,Matt Ryan\RyanMa00,2009,2020,ATL,23,12,0,.657,35
8,Ben Roethlisberger\RoetBe00,2005,2020,PIT,26,8,0,.765,34
9,Matthew Stafford\StafMa00,2011,2020,DET,21,8,1,.717,30
10,Russell Wilson\WilsRu00,2012,2020,SEA,24,4,0,.857,28
11,Eli Manning\MannEl00,2005,2018,NYG,15,10,0,.600,25
12,Tony Romo\RomoTo00,2006,2014,DAL,20,5,0,.800,25
13,Dan Marino*\MariDa00,1984,1999,MIA,18,5,0,.783,23
14,Joe Montana*\MontJo01,1980,1994,KAN/SFO,23,0,0,1.000,23
15,Kirk Cousins\CousKi00,2014,2020,WAS/MIN,16,6,0,.727,22
16,Kurt Warner*\WarnKu00,1999,2009,ARI/STL,20,2,0,.909,22
17,Donovan McNabb\McNaDo00,2000,2009,PHI,20,1,0,.952,21
18,Carson Palmer\PalmCa00,2005,2017,ARI/CIN,13,8,0,.619,21
19,Steve Young*\YounSt00,1991,1998,SFO,20,0,0,1.000,20
20,Drew Bledsoe\BledDr00,1994,2005,NWE/BUF/DAL,17,2,0,.895,19
21,Derek Carr\CarrDe02,2014,2020,OAK/LVR,13,6,0,.684,19
22,Jim Everett\EverJi00,1986,1996,RAM/NOR,11,7,0,.611,18
23,Ryan Fitzpatrick\FitzRy00,2011,2020,TAM/MIA/NYJ/TEN/BUF/HOU,12,6,0,.667,18
24,Andy Dalton\DaltAn00,2011,2019,CIN,9,8,0,.529,17
25,John Elway*\ElwaJo00,1983,1998,DEN,15,2,0,.882,17
26,Jeff Garcia\GarcJe00,1999,2008,SFO/TAM/PHI,10,7,0,.588,17
27,Joe Flacco\FlacJo00,2008,2018,BAL,12,4,0,.750,16
28,Dan Fouts*\FoutDa00,1976,1987,SDG,13,3,0,.813,16
29,Patrick Mahomes\MahoPa00,2018,2020,KAN,14,2,0,.875,16
30,Kerry Collins\CollKe00,1996,2010,NYG/OAK/TEN/CAR,8,7,0,.533,15
31,Matt Hasselbeck\HassMa00,2002,2015,SEA/TEN/IND,12,3,0,.800,15
32,Andrew Luck\LuckAn00,2012,2018,IND,11,4,0,.733,15
33,Fran Tarkenton*\TarkFr00,1961,1978,MIN/NYG,13,2,0,.867,15
34,Johnny Unitas *\UnitJo00,1959,1972,BAL,14,1,0,.933,15
35,Ken Anderson\AndeKe00,1973,1982,CIN,11,3,0,.786,14
